2026-03-22 15:58:10,193 [INFO] Бот запущен. Жди сообщений...
2026-03-22 15:58:32,983 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 15:58:35,627 [INFO] Бот остановлен
2026-03-22 16:00:58,104 [INFO] Бот запущен. Жди сообщений...
2026-03-22 16:01:05,596 [INFO] Агент запущен
2026-03-22 16:01:17,763 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:01:29,379 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:01:40,085 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:01:51,142 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:02:02,230 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:02:14,719 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:02:27,784 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:02:42,855 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:02:51,820 [INFO] Агент остановлен
2026-03-22 16:02:51,836 [INFO] Агент завершил работу
2026-03-22 16:03:18,448 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:03:29,423 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:03:40,419 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:03:51,321 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:01,955 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:12,622 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:23,587 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:34,673 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:45,290 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:04:56,457 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:05:07,104 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:05:17,952 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:05:31,288 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:05:44,331 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:05:55,077 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:05,899 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:16,626 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:27,357 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:38,179 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:49,030 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:06:59,603 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:07:10,483 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:07:21,247 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:07:34,521 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:07:45,979 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:07:56,717 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:08:07,538 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:08:18,377 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:08:29,120 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:08:39,885 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:08:50,768 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:01,530 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:12,297 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:23,049 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:33,755 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:44,524 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:09:58,553 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:10:09,366 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:10:21,168 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:10:32,009 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:10:42,692 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
2026-03-22 16:10:54,489 [ERROR] API getUpdates: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=10)
